twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;8.65;10.53;11.8;12.57;13.13;13.57;14.88
60;9.37;11;12.51;13.38;14.04;14.57;16.17
75;10.02;11.74;13.6;14.98;15.96;16.75;18.41
90;10.5;12.47;13.91;15.86;17.22;18.21;19.57
110;10.34;12.31;14.59;16.17;17.65;18.89;21.74
120;9.85;11.62;13.72;16.32;17.89;19.25;22.14
135;8.09;10.08;11.36;13.06;15.18;17.34;22.21
150;6.61;8.23;9.75;10.92;12.39;14.3;18.26
180;5.72;7.13;8.45;9.46;10.73;12.39;15.82
